symbol: 178, SP: 0.00000180, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 179, SP: 0.00993399, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 180, SP: 0.00000003, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 181, SP: 0.00001828, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 182, SP: 0.00000008, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 183, SP: 0.00001490, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 184, SP: 0.13799979, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 185, SP: 0.00170000, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 186, SP: 0.00000190, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 187, SP: 0.00000012, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 188, SP: 0.00003198, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 189, SP: 0.00000006, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 190, SP: 0.00000005, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 191, SP: 0.00000004, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 193, SP: 0.00001060, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 194, SP: 0.00000006, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
symbol: 195, SP: 0.00000021, time: Sun Jul 02 2017 01:58:06 GMT-0400 (EDT), trackingStatus: 
