MarketID: 206, symbol: WCL-BTC, SP: 0.00000004, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 207, symbol: ALL-BTC, SP: 0.00000800, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 208, symbol: GLTC-BTC, SP: 0.00086000, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 209, symbol: UFO-BTC, SP: 0.00000006, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 210, symbol: TIPS-BTC, SP: 0.00000001, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 211, symbol: undefined, SP: 0.03178587, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 212, symbol: TSE-BTC, SP: 0.00000075, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 213, symbol: XBC-BTC, SP: 0.06999999, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 214, symbol: LDC-BTC, SP: 0.00007287, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 215, symbol: undefined, SP: 22888.00000000, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 216, symbol: undefined, SP: 0.00006888, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 217, symbol: GRE-BTC, SP: 0.00000007, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 218, symbol: DNCV2-BTC, SP: 0.00000003, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 219, symbol: LUNA-BTC, SP: 0.00000979, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 221, symbol: undefined, SP: 0.00348750, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 222, symbol: ERY-BTC, SP: 0.00000900, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 223, symbol: WORM-BTC, SP: 0.00000040, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 224, symbol: TPC-BTC, SP: 0.00000006, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 225, symbol: BIZ-BTC, SP: 0.00000005, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 226, symbol: PRX-BTC, SP: 0.00000180, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 227, symbol: VIDZ-BTC, SP: 0.00000119, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 228, symbol: ORO-BTC, SP: 0.00000295, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
