symbol: BTC_EMPZ, SP: 0.00000002, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_KURT, SP: 0.00000717, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_MET, SP: 0.00000006, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_EMPC, SP: 0.00000950, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_SIMP, SP: 0.00000003, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_NAV, SP: 0.00021901, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_POSW, SP: 0.00001897, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_ZNY, SP: 0.00000050, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_OSC, SP: 0.00000055, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_VLTC, SP: 0.00000169, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_MONEY, SP: 0.00000029, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_IFLT, SP: 0.00000003, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_FDC, SP: 0.00000054, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_CTV, SP: 0.00000036, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_ERY, SP: 0.00000590, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_BASH, SP: 0.00001800, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_XGB, SP: 0.00000342, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_BUY, SP: 0.00000200, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_GLD, SP: 0.00005800, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_ABN, SP: 0.00017727, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_SLM, SP: 0.00000180, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_ZUR, SP: 0.00000048, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_CRBIT, SP: 0.00005700, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_UNITS, SP: 0.00003981, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
symbol: BTC_XSPEC, SP: 0.00011899, time: Sun Jul 02 2017 01:00:19 GMT-0400 (EDT), trackingStatus: 
