symbol: DIBC/BTC, SP: 0.00001867, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: DMB/BTC, SP: 9.7e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: DOGE/BTC, SP: 9.5e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: DON/BTC, SP: 4.1e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: DOT/BTC, SP: 0.00000195, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: DSH/BTC, SP: 0.00001193, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: DUCK/BTC, SP: 0.0459, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: DUO/BTC, SP: 0.00013178, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: EBG/BTC, SP: 5.4e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: EC/BTC, SP: 0.00012457, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ECO/BTC, SP: 0.00069999, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ECOB/BTC, SP: 0.00006485, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: EDC/BTC, SP: 2.4e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: EDRC/BTC, SP: 0.00000931, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: EFL/BTC, SP: 0.00003196, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: EGC/BTC, SP: 0.00006543, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ELC/BTC, SP: 0.00008, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ELS/BTC, SP: 6.5e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: EMB/BTC, SP: 2e-8, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: EMC/BTC, SP: 0.00048758, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: EMC2/BTC, SP: 0.00002795, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: EMD/BTC, SP: 0.00000578, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: EQT/BTC, SP: 0.00008363, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ERSO/BTC, SP: 3e-8, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ERY/BTC, SP: 0.0000056, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ETB/BTC, SP: 0.00094899, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ETC/BTC, SP: 0.00689445, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: ETH/BTC, SP: 0.10706053, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: EUC/BTC, SP: 9.6e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: EVIL/BTC, SP: 8e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: EVO/BTC, SP: 0.0000115, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: EXP/BTC, SP: 0.00108121, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: FAME/BTC, SP: 7e-8, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: FAZZ/BTC, SP: 0.00000537, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: FCN/BTC, SP: 1.8e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: FCT/BTC, SP: 0.00954302, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: FFC/BTC, SP: 4e-8, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: FJC/BTC, SP: 3.7e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: FLASH/BTC, SP: 0.00000598, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: FLAX/BTC, SP: 9.5e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: FLT/BTC, SP: 2e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
symbol: FONZ/BTC, SP: 1.1e-7, time: Sun Jul 02 2017 00:45:01 GMT-0400 (EDT), trackingStatus:
